"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Mar-2005","     2847.90","     2949.65","     2836.50","     2923.15","       15210877","          858.99"
"01-Apr-2005","     2927.70","     2951.75","     2891.20","     2946.35","       10081089","          573.34"
"04-Apr-2005","     2945.15","     2982.45","     2924.30","     2934.00","       10203231","          571.91"
"05-Apr-2005","     2997.65","     2997.65","     2907.70","     2917.20","        7944103","          404.81"
"06-Apr-2005","     2920.25","     2948.90","     2916.85","     2942.10","        8431804","          379.67"
"07-Apr-2005","     2945.15","     2967.35","     2912.30","     2921.35","       11798525","          598.02"
"08-Apr-2005","     2918.50","     2920.70","     2850.35","     2856.70","        8969112","          565.13"
"11-Apr-2005","     2851.00","     2855.65","     2792.40","     2799.25","        7680124","          424.72"
"12-Apr-2005","     2785.00","     2834.90","     2784.45","     2825.80","        8836736","          545.52"
"13-Apr-2005","     2835.55","     2857.55","     2812.60","     2833.10","        8714023","          563.76"
"15-Apr-2005","     2775.35","     2775.35","     2664.45","     2670.05","       10577175","          844.73"
"18-Apr-2005","     2658.90","     2682.65","     2615.85","     2642.45","        7837284","          611.31"
"19-Apr-2005","     2650.25","     2694.10","     2512.85","     2540.90","       13352317","         1014.66"
"20-Apr-2005","     2535.55","     2535.55","     2461.90","     2514.10","       18027132","         1344.12"
"21-Apr-2005","     2522.85","     2557.90","     2496.40","     2552.70","       16902534","          943.58"
"22-Apr-2005","     2598.95","     2648.30","     2598.95","     2639.20","       14927230","          983.26"
"25-Apr-2005","     2656.95","     2656.95","     2623.00","     2635.65","       15766267","          832.96"
"26-Apr-2005","     2633.50","     2633.50","     2593.00","     2596.80","        9333992","          492.88"
"27-Apr-2005","     2567.60","     2578.45","     2534.30","     2554.90","       10424890","          758.15"
"28-Apr-2005","     2549.55","     2575.35","     2539.85","     2561.20","       20303840","          992.93"
"29-Apr-2005","     2577.90","     2577.90","     2531.55","     2539.75","       10799220","          609.20"
"02-May-2005","     2588.15","     2588.15","     2539.65","     2562.95","        7629261","          426.22"
"03-May-2005","     2563.05","     2571.25","     2537.60","     2541.05","        9237855","          448.19"
"04-May-2005","     2545.05","     2576.00","     2545.05","     2571.35","        7691153","          417.50"
"05-May-2005","     2582.60","     2626.10","     2582.60","     2609.10","        8136493","          605.23"
"06-May-2005","     2530.85","     2649.65","     2530.85","     2640.80","        6944145","          471.36"
"09-May-2005","     2644.75","     2695.95","     2644.75","     2689.30","        8741006","          576.48"
"10-May-2005","     2690.90","     2695.75","     2661.55","     2669.00","       14632580","          836.90"
"11-May-2005","     2660.95","     2661.45","     2634.50","     2655.10","       12427357","          673.92"
"12-May-2005","     2651.50","     2669.65","     2645.60","     2662.10","        8036566","          433.78"
"13-May-2005","     2662.35","     2662.35","     2637.70","     2643.75","       13385199","          505.30"
"16-May-2005","     2644.05","     2690.45","     2644.05","     2685.95","       16985420","          617.51"
"17-May-2005","     2707.75","     2715.45","     2663.90","     2672.95","       15333673","          680.22"
"18-May-2005","     2673.00","     2673.00","     2620.70","     2655.60","       17207326","          654.17"
"19-May-2005","     2665.50","     2713.35","     2665.50","     2697.75","       13793335","          554.30"
"20-May-2005","     2694.60","     2735.20","     2673.05","     2724.55","       10476163","          469.94"
"23-May-2005","     2725.90","     2784.35","     2718.00","     2772.00","       10202960","          519.43"
"24-May-2005","     2812.25","     2812.25","     2765.00","     2800.05","       10707557","          602.96"
"25-May-2005","     2791.60","     2844.20","     2772.80","     2828.55","       10108349","          741.59"
"26-May-2005","     2770.65","     2903.55","     2769.40","     2888.95","       17011201","         1137.63"
"27-May-2005","     2903.85","     2926.45","     2880.00","     2896.55","       13883763","          829.14"
"30-May-2005","     2883.90","     2925.25","     2881.95","     2899.55","       10198935","          750.13"
"31-May-2005","     2900.45","     2938.45","     2890.00","     2933.00","        8714418","          586.67"
"01-Jun-2005","     2933.50","     2933.65","     2894.35","     2900.25","       11120182","          584.56"
"02-Jun-2005","     2902.65","     2914.10","     2852.95","     2858.90","        9164116","          482.65"
"03-Jun-2005","     2862.25","     2926.50","     2854.60","     2920.15","        8955798","          535.06"
"04-Jun-2005","     2918.10","     2918.10","     2901.30","     2913.45","        4615545","          201.92"
"06-Jun-2005","     2908.50","     2928.05","     2884.30","     2893.45","        8537399","          433.14"
"07-Jun-2005","     2908.75","     2919.55","     2890.80","     2912.30","        5949864","          382.20"
"08-Jun-2005","     2913.65","     2964.00","     2909.85","     2957.80","       10473245","          612.73"
"09-Jun-2005","     2958.05","     2959.65","     2904.50","     2912.50","        9141650","          430.22"
"10-Jun-2005","     2914.75","     2944.65","     2890.45","     2896.25","       14777549","          585.03"
"13-Jun-2005","     2907.55","     2923.70","     2887.00","     2908.90","       15304871","          546.65"
"14-Jun-2005","     2920.55","     2926.00","     2898.55","     2913.30","       11427028","          443.97"
"15-Jun-2005","     2915.60","     2945.25","     2913.55","     2941.20","        8807701","          509.51"
"16-Jun-2005","     2933.75","     2963.85","     2931.55","     2951.10","        9800164","          625.22"
"17-Jun-2005","     2903.95","     2962.25","     2903.95","     2953.30","        8345086","          493.75"
"20-Jun-2005","     2931.40","     3029.15","     2931.40","     3024.55","       13203452","          906.46"
"21-Jun-2005","     3028.75","     3059.25","     2998.85","     3046.65","       12730537","          874.99"
"22-Jun-2005","     3034.60","     3079.70","     3034.60","     3068.70","       20792825","         1218.49"
"23-Jun-2005","     3062.35","     3067.35","     3026.85","     3030.85","       12535574","          707.11"
"24-Jun-2005","     3021.00","     3046.65","     2988.80","     3023.25","       10853346","          659.07"
"27-Jun-2005","     3009.85","     3047.85","     3009.85","     3023.00","       11924036","          625.00"
"28-Jun-2005","     3024.95","     3031.50","     2981.15","     2987.20","       13067969","          672.20"
"29-Jun-2005","     2991.75","     3028.90","     2985.85","     3022.60","        9602861","          603.36"
"30-Jun-2005","     3009.15","     3082.95","     3009.15","     3072.10","       19383974","         1206.53"
"01-Jul-2005","       60.65","     3062.75","     3041.80","     3051.35","        8290646","          410.77"
"04-Jul-2005","     3051.20","     3083.25","     3038.50","     3079.15","       10055919","          403.79"
"05-Jul-2005","     3081.40","     3095.30","     2998.00","     3006.60","        9022063","          467.20"
"06-Jul-2005","     3010.80","     3033.55","     3003.00","     3020.50","       10214311","          641.86"
"07-Jul-2005","     3033.30","     3051.45","     2958.25","     2969.75","       10537039","          572.89"
"08-Jul-2005","     2974.20","     3017.20","     2974.20","     2999.75","        8471615","          488.36"
"11-Jul-2005","     3000.05","     3041.00","     2992.00","     3003.50","        8854176","          554.07"
"12-Jul-2005","     2984.85","     2989.35","     2905.50","     2930.75","       16347080","         1247.07"
"13-Jul-2005","     2926.85","     2954.60","     2908.80","     2916.30","       15549651","          945.06"
"14-Jul-2005","     2917.95","     2935.45","     2834.95","     2840.95","       12797757","          831.93"
"15-Jul-2005","     2868.50","     2898.95","     2844.50","     2893.85","        9969762","          612.92"
"18-Jul-2005","     2914.10","     2992.10","     2914.10","     2982.35","       11930514","          863.11"
"19-Jul-2005","     2992.40","     3004.75","     2968.95","     2981.50","       10004660","          486.48"
"20-Jul-2005","     2982.45","     3000.90","     2972.40","     2975.75","       11498919","          485.83"
"21-Jul-2005","     2983.75","     3016.15","     2945.95","     2958.10","       21399911","          875.76"
"22-Jul-2005","     2958.30","     2989.75","     2915.40","     2984.95","       18380420","          938.42"
"25-Jul-2005","     2986.40","     3001.45","     2960.85","     2965.15","       10120578","          525.19"
