"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Mar-2017","     3143.75","     3176.60","     3138.15","     3146.45","       18960579","          398.56"
"30-Mar-2017","     3151.30","     3171.30","     3145.80","     3158.85","       31886693","          567.18"
"31-Mar-2017","     3159.20","     3187.50","     3149.15","     3174.25","       21723329","          378.32"
"03-Apr-2017","     3178.95","     3197.10","     3149.50","     3156.30","       45769575","          457.52"
"05-Apr-2017","     3179.30","     3233.40","     3152.30","     3224.45","       26568444","          489.48"
"06-Apr-2017","     3213.20","     3250.95","     3207.25","     3245.50","       14583353","          330.43"
"07-Apr-2017","     3223.90","     3236.10","     3198.40","     3204.90","       15698551","          295.14"
"10-Apr-2017","     3198.40","     3244.20","     3188.25","     3233.45","       14308520","          251.55"
"11-Apr-2017","     3229.85","     3232.50","     3197.30","     3214.30","       16968292","          294.74"
"12-Apr-2017","     3213.20","     3225.20","     3158.65","     3173.55","       15480540","          291.94"
"13-Apr-2017","     3180.70","     3194.20","     3152.80","     3157.90","       12573290","          266.29"
"17-Apr-2017","     3151.90","     3175.40","     3142.90","     3158.05","       10036165","          193.69"
"18-Apr-2017","     3168.50","     3218.65","     3135.95","     3142.55","       20912340","          368.43"
"19-Apr-2017","     3153.20","     3195.85","     3133.45","     3191.30","       29584724","          583.92"
"20-Apr-2017","     3209.85","     3263.40","     3205.30","     3256.20","       25204112","          686.72"
"21-Apr-2017","     3271.65","     3297.05","     3247.25","     3266.40","       47926616","          772.73"
"24-Apr-2017","     3279.10","     3284.30","     3238.25","     3247.40","       23774055","          403.83"
"25-Apr-2017","     3258.65","     3274.55","     3254.00","     3263.10","       18907220","          403.58"
"26-Apr-2017","     3270.35","     3282.00","     3228.10","     3246.95","       20304864","          492.51"
"27-Apr-2017","     3254.15","     3285.30","     3248.65","     3260.60","       26827649","          435.27"
"28-Apr-2017","     3266.25","     3268.60","     3233.15","     3252.20","       17960128","          361.09"
"02-May-2017","     3261.00","     3282.45","     3234.35","     3271.90","       14195818","          275.26"
"03-May-2017","     3273.25","     3280.90","     3211.55","     3219.65","       15359416","          417.99"
"04-May-2017","     3230.20","     3242.40","     3186.50","     3193.00","       13625494","          324.93"
"05-May-2017","     3192.95","     3194.95","     3114.30","     3119.00","       16821743","          348.11"
"08-May-2017","     3127.40","     3149.65","     3115.05","     3119.95","       14941439","          398.43"
"09-May-2017","     3122.05","     3131.85","     3094.35","     3100.30","       14621047","          316.72"
"10-May-2017","     3104.30","     3186.70","     3104.20","     3170.15","       24527505","          521.35"
"11-May-2017","     3202.75","     3292.60","     3202.75","     3279.10","       30248461","          868.78"
"12-May-2017","     3277.05","     3277.20","     3203.90","     3210.10","       18806872","          479.03"
"15-May-2017","     3225.65","     3247.00","     3207.15","     3233.00","       20494710","          423.04"
"16-May-2017","     3236.00","     3237.15","     3190.10","     3223.50","       20954637","          370.18"
"17-May-2017","     3225.50","     3225.85","     3199.65","     3220.20","       15003316","          265.92"
"18-May-2017","     3196.00","     3239.95","     3155.20","     3166.60","       16792451","          419.37"
"19-May-2017","     3178.80","     3203.70","     3101.70","     3136.50","       16610490","          538.96"
"22-May-2017","     3155.65","     3159.45","     3104.60","     3135.40","       14376001","          449.54"
"23-May-2017","     3138.75","     3152.50","     3068.60","     3077.50","       19685098","          375.49"
"24-May-2017","     3083.60","     3095.15","     2998.60","     3022.60","       30526585","          403.31"
"25-May-2017","     3020.60","     3055.20","     2994.55","     3034.95","       47788875","          551.87"
"26-May-2017","     3029.85","     3098.90","     3028.95","     3088.75","       29835632","          377.39"
"29-May-2017","     3092.70","     3093.05","     3042.30","     3066.40","       22692044","          322.51"
"30-May-2017","     3070.95","     3090.20","     3033.85","     3082.00","       13923718","          304.06"
"31-May-2017","     3084.55","     3118.05","     3054.15","     3066.05","       22466468","          708.39"
"01-Jun-2017","     3071.50","     3091.75","     3064.50","     3085.85","       11643398","          210.97"
"02-Jun-2017","     3107.30","     3118.00","     3093.90","     3109.00","       11868415","          321.81"
"05-Jun-2017","     3119.00","     3139.00","     3110.90","     3116.40","        8584115","          271.21"
"06-Jun-2017","     3119.40","     3124.40","     3067.70","     3079.00","       14966767","          318.38"
"07-Jun-2017","     3081.35","     3094.25","     3071.80","     3090.55","       10255760","          236.32"
"08-Jun-2017","     3093.25","     3119.15","     3090.85","     3097.05","       11455234","          316.80"
"09-Jun-2017","     3101.30","     3111.75","     3083.75","     3095.55","       13305407","          373.19"
"12-Jun-2017","     3103.85","     3105.55","     3060.75","     3079.20","       18542151","          321.08"
"13-Jun-2017","     3096.05","     3096.20","     3070.35","     3077.65","       13910230","          233.39"
"14-Jun-2017","     3084.95","     3099.95","     3065.45","     3094.15","       11423642","          260.41"
"15-Jun-2017","     3088.05","     3101.35","     3078.05","     3081.65","       15652826","          276.74"
"16-Jun-2017","     3082.15","     3108.75","     3081.30","     3094.95","       13773470","          298.10"
"19-Jun-2017","     3117.50","     3127.60","     3107.50","     3111.90","       13045864","          331.90"
"20-Jun-2017","     3122.20","     3122.20","     3081.25","     3084.65","       16744549","          288.25"
"21-Jun-2017","     3080.85","     3097.05","     3062.80","     3086.45","       14204388","          291.27"
"22-Jun-2017","     3098.05","     3106.15","     3077.80","     3082.85","       13198129","          222.55"
"23-Jun-2017","     3088.20","     3089.15","     3030.20","     3038.40","       15898942","          319.15"
"27-Jun-2017","     3037.75","     3044.45","     2936.10","     2956.55","       16608894","          470.75"
"28-Jun-2017","     2948.65","     2952.05","     2915.95","     2933.95","       13558100","          336.63"
"29-Jun-2017","     2952.90","     2982.10","     2944.85","     2959.45","       23053971","          356.31"
"30-Jun-2017","     2962.20","     2989.55","     2936.90","     2982.05","       15904156","          312.88"
"03-Jul-2017","     2992.85","     3005.70","     2985.25","     2997.55","        9393834","          229.21"
"04-Jul-2017","     2995.30","     3006.25","     2974.80","     2989.75","       10599669","          222.76"
"05-Jul-2017","     2990.85","     3027.90","     2983.10","     3024.25","        8351837","          215.42"
"06-Jul-2017","     3036.50","     3040.40","     3018.35","     3022.05","       11871628","          227.17"
"07-Jul-2017","     3023.95","     3050.95","     3014.00","     3037.60","        8867996","          252.22"
"10-Jul-2017","     3053.30","     3067.10","     2902.25","     3038.25","        2776884","           55.42"
"11-Jul-2017","     3050.30","     3052.50","     3021.70","     3025.30","        8205672","          200.93"
"12-Jul-2017","     3029.40","     3047.55","     3028.00","     3044.85","       10118031","          194.48"
"13-Jul-2017","     3047.30","     3082.55","     3047.30","     3078.70","       28760194","          280.27"
"14-Jul-2017","     3078.60","     3080.75","     3046.40","     3065.05","       38346039","          369.68"
"17-Jul-2017","     3083.80","     3089.90","     3063.10","     3085.20","       15154882","          273.89"
"18-Jul-2017","     3079.15","     3113.40","     3066.45","     3086.25","       46401541","          650.45"
