"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Mar-2006","-","-","-","     5897.48","       13500000","          505.47"
"03-Apr-2006","-","-","-","     6036.81","       10100000","          419.35"
"04-Apr-2006","-","-","-","     6121.83","       15600000","          497.03"
"05-Apr-2006","-","-","-","     6215.72","       11700000","          426.42"
"07-Apr-2006","-","-","-","     6057.69","       21200000","          564.54"
"10-Apr-2006","-","-","-","     6050.41","       14500000","          391.05"
"12-Apr-2006","-","-","-","     5890.69","       17600000","          450.73"
"13-Apr-2006","-","-","-","     5794.44","       19100000","          449.45"
"17-Apr-2006","-","-","-","     5870.14","        8492905","          230.93"
"18-Apr-2006","-","-","-","     5984.19","       12500000","          348.60"
"19-Apr-2006","-","-","-","     5968.44","       13100000","          383.36"
"20-Apr-2006","-","-","-","     5995.19","       11600000","          314.50"
"21-Apr-2006","-","-","-","     6050.41","       15200000","          402.76"
"24-Apr-2006","-","-","-","     6098.04","       12600000","          325.20"
"25-Apr-2006","-","-","-","     5943.35","       11000000","          316.06"
"26-Apr-2006","-","-","-","     6076.27","       12600000","          337.73"
"27-Apr-2006","-","-","-","     6099.34","       20900000","          524.49"
"28-Apr-2006","-","-","-","     6124.27","       23900000","          612.44"
"29-Apr-2006","-","-","-","     6172.28","        5571958","          151.99"
"02-May-2006","-","-","-","     6253.12","       16200000","          441.09"
"03-May-2006","-","-","-","     6275.28","       13000000","          346.28"
"04-May-2006","-","-","-","     6263.71","       11100000","          288.87"
"05-May-2006","-","-","-","     6192.47","        6257763","          185.89"
"08-May-2006","-","-","-","     6180.50","        7357794","          202.82"
"09-May-2006","-","-","-","     6132.24","       11400000","          310.97"
"10-May-2006","-","-","-","     6128.12","       10700000","          289.70"
"11-May-2006","-","-","-","     6091.42","        9529237","          248.91"
"12-May-2006","-","-","-","     6030.84","        8293678","          198.16"
"15-May-2006","-","-","-","     5758.30","       14300000","          324.10"
