"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Mar-2009","-","-","-","     5055.37","       10200000","          292.33"
"31-Mar-2009","-","-","-","     5134.66","       13800000","          354.84"
"01-Apr-2009","-","-","-","     5117.60","       15100000","          402.51"
"02-Apr-2009","-","-","-","     5103.70","       15800000","          410.68"
"06-Apr-2009","-","-","-","     5008.91","       26300000","          629.89"
"08-Apr-2009","-","-","-","     5229.25","       20800000","          509.68"
"09-Apr-2009","-","-","-","     5151.46","       13300000","          421.85"
"13-Apr-2009","-","-","-","     5161.07","       12300000","          350.19"
"15-Apr-2009","-","-","-","     5217.64","       19000000","          551.40"
"16-Apr-2009","-","-","-","     5285.98","       18200000","          475.63"
"17-Apr-2009","-","-","-","     5267.85","       14000000","          356.72"
"20-Apr-2009","-","-","-","     5233.75","       12700000","          308.70"
"21-Apr-2009","-","-","-","     5319.31","       14700000","          361.42"
"22-Apr-2009","-","-","-","     5317.76","       13800000","          299.95"
"23-Apr-2009","-","-","-","     5328.66","       10400000","          222.14"
"24-Apr-2009","-","-","-","     5342.91","        6841086","          185.17"
"27-Apr-2009","-","-","-","     5321.34","       13800000","          327.96"
"28-Apr-2009","-","-","-","     5199.57","       10300000","          267.91"
"29-Apr-2009","-","-","-","     5299.81","       16500000","          394.76"
"04-May-2009","-","-","-","     5558.55","       19400000","          450.57"
"05-May-2009","-","-","-","     5457.78","       12600000","          329.86"
"06-May-2009","-","-","-","     5352.48","       14200000","          358.96"
"07-May-2009","-","-","-","     5332.12","       13900000","          333.12"
"08-May-2009","-","-","-","     5310.78","       14700000","          411.93"
"11-May-2009","-","-","-","     5241.83","       17200000","          341.89"
"12-May-2009","-","-","-","     5263.74","       15100000","          354.07"
"13-May-2009","-","-","-","     5202.84","       10700000","          227.28"
"14-May-2009","-","-","-","     5205.83","       11800000","          263.34"
"15-May-2009","-","-","-","     5200.57","        9427586","          213.15"
"18-May-2009","-","-","-","     5650.85","         222569","            5.27"
"19-May-2009","-","-","-","     5393.70","       40300000","          913.07"
"20-May-2009","-","-","-","     5415.16","       23400000","          609.54"
"21-May-2009","-","-","-","     5345.53","       16800000","          360.51"
"22-May-2009","-","-","-","     5368.84","       11700000","          276.19"
"25-May-2009","-","-","-","     5498.83","       17800000","          422.23"
"26-May-2009","-","-","-","     5380.63","       17400000","          422.55"
"27-May-2009","-","-","-","     5404.15","       23600000","          489.64"
"28-May-2009","-","-","-","     5394.84","       23500000","          513.70"
"29-May-2009","-","-","-","     5410.16","       19800000","          470.29"
"01-Jun-2009","-","-","-","     5544.85","       23700000","          513.70"
"02-Jun-2009","-","-","-","     5567.07","       19000000","          539.47"
"03-Jun-2009","-","-","-","     5771.91","       27200000","          703.61"
"04-Jun-2009","-","-","-","     5872.82","       23300000","          567.88"
"05-Jun-2009","-","-","-","     5750.16","       34900000","          762.62"
"08-Jun-2009","-","-","-","     5591.89","       21500000","          470.65"
"09-Jun-2009","-","-","-","     5747.10","       14200000","          346.59"
"10-Jun-2009","-","-","-","     5877.34","       26700000","          650.72"
"11-Jun-2009","-","-","-","     5866.85","       14500000","          346.13"
"12-Jun-2009","-","-","-","     5805.33","       15900000","          393.74"
"15-Jun-2009","-","-","-","     5833.51","       11400000","          291.37"
"16-Jun-2009","-","-","-","     5896.71","       11000000","          303.69"
"17-Jun-2009","-","-","-","     5773.33","       10100000","          265.97"
