"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Apr-2001","     1148.10","     1148.10","     1094.35","     1138.10","       40163288","         1053.60"
"03-Apr-2001","     1136.65","     1153.10","     1128.10","     1149.25","       29797348","          796.52"
"04-Apr-2001","     1146.10","     1146.15","     1120.35","     1136.65","       27091152","          681.11"
"06-Apr-2001","     1137.55","     1171.85","     1133.05","     1139.60","       36171484","          996.96"
"09-Apr-2001","     1137.60","     1138.55","     1116.10","     1128.35","       28396434","          746.64"
"10-Apr-2001","     1129.10","     1129.75","     1093.05","     1103.05","       35199275","          999.09"
"11-Apr-2001","     1104.90","     1116.85","     1056.10","     1066.80","       39177495","         1109.84"
"12-Apr-2001","     1066.75","     1066.75","     1001.80","     1024.90","       47079193","         1273.94"
"16-Apr-2001","     1024.00","     1049.40","     1000.10","     1044.60","       44790803","          981.33"
"17-Apr-2001","     1044.85","     1072.90","     1037.70","     1067.00","       50797893","         1139.45"
"18-Apr-2001","     1066.50","     1106.30","     1063.05","     1103.40","       55976491","         1344.85"
"19-Apr-2001","     1103.60","     1159.30","     1103.60","     1144.45","       70684003","         1950.61"
"20-Apr-2001","     1145.75","     1156.45","     1120.60","     1144.00","       49354917","         1411.68"
"23-Apr-2001","     1144.05","     1162.05","     1137.30","     1149.75","       48547640","         1202.06"
"24-Apr-2001","     1149.60","     1149.60","     1128.40","     1146.30","       42006905","         1061.69"
"25-Apr-2001","     1146.50","     1162.85","     1142.30","     1155.35","       52927065","         1273.51"
"26-Apr-2001","     1155.40","     1170.20","     1138.85","     1143.75","       55932790","         1172.46"
"27-Apr-2001","     1143.65","     1143.65","     1078.10","     1101.30","       56498863","         1255.92"
"30-Apr-2001","     1101.45","     1127.90","     1101.45","     1125.25","       42750822","          998.70"
"02-May-2001","     1125.45","     1150.65","     1125.25","     1137.20","       43257145","         1209.72"
"03-May-2001","     1137.15","     1139.85","     1117.70","     1122.05","       35696448","         1015.24"
"04-May-2001","     1121.45","     1131.95","     1113.65","     1130.05","       42006775","         1056.54"
"07-May-2001","     1130.05","     1145.40","     1130.05","     1139.20","       35261515","          933.42"
"08-May-2001","     1139.25","     1151.95","     1138.20","     1148.95","       43301789","         1119.47"
"09-May-2001","     1149.90","     1164.30","     1145.25","     1149.25","       55608670","         1460.92"
"10-May-2001","     1149.10","     1151.60","     1139.25","     1144.95","       37684921","         1116.98"
"11-May-2001","     1144.10","     1146.85","     1136.90","     1140.50","       42033729","         1001.02"
"14-May-2001","     1140.45","     1146.25","     1134.05","     1140.80","       32675541","          846.02"
"15-May-2001","     1140.75","     1147.75","     1096.25","     1145.30","       45135447","         1168.05"
"16-May-2001","     1147.10","     1163.15","     1146.05","     1151.15","       48486563","         1161.42"
"17-May-2001","     1151.20","     1179.00","     1150.60","     1174.95","       62568541","         1498.08"
"18-May-2001","     1175.00","     1187.65","     1169.20","     1172.80","       53432585","         1343.77"
"21-May-2001","     1172.95","     1182.65","     1166.70","     1169.45","       43127114","          988.83"
"22-May-2001","     1169.50","     1176.20","     1165.65","     1168.10","       37282910","          995.49"
"23-May-2001","     1168.25","     1181.80","     1167.00","     1179.10","       40537706","         1273.18"
"24-May-2001","     1179.10","     1190.15","     1177.55","     1181.85","       49236107","         1441.50"
"25-May-2001","     1181.95","     1188.50","     1171.35","     1174.90","       44045491","         1251.16"
"28-May-2001","     1174.95","     1194.50","     1174.45","     1193.20","       45583971","         1242.39"
"29-May-2001","     1193.25","     1202.05","     1193.25","     1198.45","       44863947","         1179.54"
"30-May-2001","     1199.50","     1207.00","     1173.75","     1177.55","       53458645","         1563.28"
"31-May-2001","     1177.50","     1177.50","     1154.90","     1167.90","       51326602","         1396.92"
"01-Jun-2001","     1168.10","     1175.80","     1146.90","     1148.05","       45591808","         1218.63"
"04-Jun-2001","     1148.00","     1154.45","     1125.35","     1127.20","       39210374","         1034.54"
"05-Jun-2001","     1127.15","     1130.65","     1106.80","     1115.60","       44902352","         1243.75"
"06-Jun-2001","     1117.50","     1132.95","     1114.00","     1115.70","       34916039","          936.19"
"07-Jun-2001","     1115.05","     1116.10","     1095.45","     1112.35","       43845499","         1230.26"
"08-Jun-2001","     1112.45","     1128.90","     1112.45","     1126.60","       47213483","         1271.25"
"11-Jun-2001","     1126.55","     1134.80","     1122.35","     1131.10","       35437940","         1076.12"
"12-Jun-2001","     1131.05","     1133.30","     1121.80","     1127.15","       39272103","         1116.51"
"13-Jun-2001","     1127.10","     1132.95","     1126.90","     1129.00","       32960264","          958.25"
"14-Jun-2001","     1128.95","     1128.95","     1110.15","     1112.75","       40353911","         1197.48"
"15-Jun-2001","     1112.70","     1112.70","     1084.20","     1087.75","       45840395","         1458.47"
"18-Jun-2001","     1087.75","     1087.75","     1064.40","     1078.30","       42081822","         1184.03"
"19-Jun-2001","     1078.25","     1099.70","     1075.45","     1096.65","       37831986","         1087.34"
"20-Jun-2001","     1096.35","     1100.55","     1084.70","     1097.60","       31013783","          855.29"
"21-Jun-2001","     1097.90","     1102.45","     1090.25","     1095.20","       37933371","         1057.13"
"22-Jun-2001","     1095.85","     1097.80","     1081.30","     1087.65","       37679782","          958.30"
"25-Jun-2001","     1087.10","     1087.10","     1064.40","     1067.00","       39750113","         1069.36"
"26-Jun-2001","     1066.40","     1099.80","     1060.05","     1096.60","       50432531","         1435.58"
"27-Jun-2001","     1096.60","     1102.80","     1086.75","     1096.10","       46770073","         1311.87"
"28-Jun-2001","     1095.85","     1101.00","     1090.20","     1094.00","       31053307","          909.99"
"29-Jun-2001","     1094.05","     1114.35","     1091.05","     1107.90","       39500902","         1158.05"
"02-Jul-2001","     1108.35","     1119.55","     1097.95","     1100.75","       18076084","          496.49"
"03-Jul-2001","     1097.40","     1097.40","     1066.05","     1069.80","       30622828","          878.07"
"04-Jul-2001","     1068.05","     1074.60","     1062.20","     1067.95","       26706623","          778.96"
"05-Jul-2001","     1068.35","     1079.35","     1066.95","     1069.75","       27267379","          661.00"
"06-Jul-2001","     1069.15","     1069.15","     1059.60","     1065.10","       23382015","          748.98"
"09-Jul-2001","     1064.80","     1064.80","     1052.10","     1059.50","       18018743","          554.89"
"10-Jul-2001","     1059.95","     1078.10","     1059.25","     1072.05","       21876937","          728.30"
"11-Jul-2001","     1072.15","     1088.50","     1068.35","     1083.65","       24685120","          895.22"
"12-Jul-2001","     1083.80","     1109.00","     1083.80","     1105.50","       37170474","         1106.05"
"13-Jul-2001","     1105.70","     1127.15","     1103.30","     1110.45","       39255312","         1241.43"
"16-Jul-2001","     1110.35","     1116.70","     1102.45","     1105.55","       28105463","          871.50"
"17-Jul-2001","     1103.55","     1106.05","     1092.50","     1103.10","       23685095","          802.97"
"18-Jul-2001","     1103.10","     1108.45","     1088.10","     1091.95","       26611850","          853.04"
"19-Jul-2001","     1091.35","     1091.35","     1079.55","     1085.90","       29236416","          980.76"
"20-Jul-2001","     1085.95","     1089.95","     1072.75","     1077.70","       28964869","         1027.20"
"23-Jul-2001","     1076.15","     1076.15","     1063.40","     1070.65","        1394931","           40.12"
"24-Jul-2001","     1065.95","     1074.75","     1064.50","     1072.55","       22139911","          656.83"
"25-Jul-2001","     1072.45","     1073.95","     1062.15","     1064.20","       27922213","          757.85"
"26-Jul-2001","     1063.90","     1066.55","     1050.15","     1053.40","       32443885","          992.93"
"27-Jul-2001","     1053.20","     1061.20","     1046.90","     1051.70","       28239132","          797.78"
"30-Jul-2001","     1051.45","     1062.80","     1050.90","     1061.45","       26457025","          638.35"
"31-Jul-2001","     1061.45","     1076.35","     1053.60","     1072.85","       34607069","          813.54"
"01-Aug-2001","     1073.00","     1077.70","     1059.75","     1063.15","       53427200","         1210.40"
"02-Aug-2001","     1064.25","     1070.05","     1059.55","     1066.00","       43294501","          986.30"
"03-Aug-2001","     1066.40","     1077.55","     1066.20","     1074.60","       43832220","         1090.03"
"06-Aug-2001","     1074.20","     1082.40","     1072.55","     1075.25","       37036989","          792.26"
"07-Aug-2001","     1074.35","     1079.30","     1070.20","     1072.10","       26869345","          622.50"
"08-Aug-2001","     1071.75","     1072.10","     1059.55","     1068.00","       28799186","          753.16"
"09-Aug-2001","     1068.10","     1072.60","     1061.40","     1070.65","       26832655","          653.17"
"10-Aug-2001","     1070.65","     1076.70","     1069.05","     1071.15","       25904867","          589.35"
"13-Aug-2001","     1070.95","     1081.40","     1061.05","     1063.00","       21608532","          560.72"
"14-Aug-2001","     1063.05","     1076.60","     1062.20","     1075.50","       42862979","         1041.96"
"16-Aug-2001","     1075.20","     1083.70","     1072.95","     1078.95","       48317102","         1076.10"
"17-Aug-2001","     1079.00","     1084.00","     1067.60","     1069.20","       51086895","         1062.05"
"20-Aug-2001","     1062.50","     1067.95","     1061.00","     1063.75","       30726001","          737.19"
"21-Aug-2001","     1063.65","     1071.20","     1062.30","     1068.70","       34638057","          819.92"
"23-Aug-2001","     1068.70","     1079.00","     1065.70","     1071.50","       29660741","          781.45"
"24-Aug-2001","     1071.50","     1076.70","     1064.90","     1069.15","       42200669","          987.93"
"27-Aug-2001","     1064.05","     1078.35","     1064.05","     1072.55","       35798530","          995.64"
"28-Aug-2001","     1072.35","     1076.85","     1069.60","     1070.65","       31745448","          914.76"
"29-Aug-2001","     1070.55","     1074.50","     1066.45","     1067.45","       28191743","          890.26"
"30-Aug-2001","     1068.30","     1070.25","     1061.90","     1064.15","       38781188","         1007.65"
"31-Aug-2001","     1064.10","     1064.10","     1051.75","     1053.75","       34365231","          991.32"
"03-Sep-2001","     1054.65","     1059.90","     1046.35","     1048.05","       29925067","          910.10"
"04-Sep-2001","     1048.20","     1053.25","     1043.30","     1048.20","       39738793","         1166.58"
"05-Sep-2001","     1047.25","     1051.55","     1043.30","     1045.00","       35505602","         1357.60"
"06-Sep-2001","     1047.70","     1048.20","     1033.40","     1036.10","       47387436","         1468.91"
"07-Sep-2001","     1036.35","     1037.35","     1026.45","     1035.20","       49214540","         1523.80"
"10-Sep-2001","     1035.00","     1045.30","     1031.45","     1033.40","       36055527","         1179.32"
"11-Sep-2001","     1033.35","     1037.45","     1020.70","     1023.40","       36494424","         1169.99"
"12-Sep-2001","     1023.25","     1023.25","      957.95","      982.20","       34980485","         1086.01"
"13-Sep-2001","      982.20","      993.05","      969.00","      971.70","       41790832","         1307.87"
"14-Sep-2001","      972.05","      974.50","      902.70","      919.70","       49968104","         1367.57"
"17-Sep-2001","      916.15","      916.15","      861.05","      872.25","       46030271","         1058.29"
"18-Sep-2001","      872.15","      910.35","      868.50","      900.20","       71872529","         1711.94"
"19-Sep-2001","      899.70","      915.00","      899.70","      912.20","       52494122","         1119.24"
"20-Sep-2001","      910.20","      910.35","      873.70","      898.80","       55774749","         1152.11"
"21-Sep-2001","      903.75","      903.75","      849.95","      854.20","       47900433","          967.98"
"24-Sep-2001","      853.00","      878.60","      853.00","      869.05","       48761034","         1030.18"
"25-Sep-2001","      869.15","      893.35","      858.85","      861.40","       54353301","         1168.24"
"26-Sep-2001","      861.35","      877.00","      859.20","      873.70","       52833284","         1116.82"
"27-Sep-2001","      873.15","      893.05","      868.30","      890.00","       51712403","         1122.77"
"28-Sep-2001","      891.75","      922.55","      891.00","      913.85","       63992439","         1300.42"
"01-Oct-2001","      914.65","      919.20","      905.50","      910.10","       49595909","         1034.73"
"03-Oct-2001","      910.05","      915.05","      896.25","      899.65","       40480562","          840.36"
"04-Oct-2001","      899.65","      914.25","      899.65","      911.65","       47793023","         1076.27"
"05-Oct-2001","      911.60","      919.75","      903.05","      914.60","       38678056","          972.20"
"08-Oct-2001","      911.20","      913.05","      884.65","      901.95","       36382088","          962.61"
"09-Oct-2001","      903.00","      914.30","      902.55","      912.70","       36541512","          842.33"
"10-Oct-2001","      915.50","      942.80","      912.90","      940.35","       53379009","         1257.19"
"11-Oct-2001","      940.45","      959.75","      940.45","      954.90","       49847301","         1235.83"
"12-Oct-2001","      958.40","      969.90","      956.85","      960.40","       55195833","         1399.07"
"15-Oct-2001","      963.65","      966.15","      954.35","      963.40","       43543056","         1046.06"
"16-Oct-2001","      963.40","      973.25","      962.50","      971.25","       47172702","         1164.45"
"17-Oct-2001","      971.95","      989.05","      971.95","      986.25","       53218059","         1337.74"
"18-Oct-2001","      984.20","      984.50","      969.35","      972.05","       42709459","          992.93"
"19-Oct-2001","      972.20","      981.00","      970.85","      976.65","       38879800","         1068.08"
"22-Oct-2001","      980.05","      994.15","      973.20","      976.40","       44249199","         1133.27"
"23-Oct-2001","      976.75","      994.15","      976.55","      993.20","       51827720","         1214.46"
"24-Oct-2001","      992.95","     1000.95","      987.40","      991.20","       59400439","         1438.21"
"25-Oct-2001","      991.25","      998.00","      979.95","      983.20","       60241032","         1311.97"
"29-Oct-2001","      983.15","      996.60","      974.05","      977.45","       37908923","          879.53"
"30-Oct-2001","      977.35","      977.35","      960.50","      963.10","       46820016","         1060.01"
"31-Oct-2001","      962.85","      976.40","      959.35","      971.90","       48402824","         1251.00"
"01-Nov-2001","      973.55","      997.30","      973.55","      994.00","       53177458","         1380.27"
"02-Nov-2001","      994.25","     1009.55","      991.95","      997.60","       57608835","         1538.24"
"05-Nov-2001","      997.25","     1001.30","      987.85","      991.05","       44011648","         1149.16"
"06-Nov-2001","      991.20","     1007.40","      991.15","     1001.90","       50531340","         1126.27"
"07-Nov-2001","     1001.95","     1014.10","      984.45","      987.50","       44843739","         1037.49"
"08-Nov-2001","      987.50","     1001.15","      985.75","      997.70","       51431168","         1188.47"
"09-Nov-2001","      999.10","     1008.95","      999.10","     1004.05","       62739687","         1321.68"
"12-Nov-2001","     1004.55","     1014.25","     1003.60","     1010.90","       46429666","          923.83"
"13-Nov-2001","     1010.95","     1013.25","      999.85","     1005.40","       43465584","          978.60"
"14-Nov-2001","     1005.45","     1017.20","     1004.70","     1015.80","       13831835","          289.60"
"15-Nov-2001","     1016.05","     1038.35","     1015.15","     1035.70","       50501218","         1338.06"
"19-Nov-2001","     1034.20","     1072.00","     1032.85","     1068.15","       73038463","         1564.33"
"20-Nov-2001","     1067.30","     1082.40","     1046.15","     1050.20","       72218774","         1787.56"
"21-Nov-2001","     1050.40","     1064.85","     1046.30","     1056.35","       57521765","         1395.65"
"22-Nov-2001","     1056.45","     1075.90","     1056.45","     1062.45","       60059388","         1557.62"
