"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Apr-2000","     1528.70","     1555.50","     1510.75","     1534.75","       50909584","         1638.46"
"04-Apr-2000","     1534.05","     1534.05","     1420.85","     1428.10","       42180348","         1071.07"
"05-Apr-2000","     1428.50","     1467.40","     1391.65","     1434.65","       49400946","         1880.26"
"06-Apr-2000","     1436.15","     1475.25","     1381.05","     1452.95","       40869843","         1850.96"
"07-Apr-2000","     1453.30","     1558.05","     1453.30","     1557.15","       49468064","         1272.20"
"10-Apr-2000","     1557.55","     1636.95","     1557.55","     1613.00","       67959549","         1932.64"
"11-Apr-2000","     1613.00","     1631.60","     1550.85","     1624.65","       34966347","         2042.24"
"12-Apr-2000","     1624.40","     1628.55","     1586.00","     1592.70","       35323588","         2074.92"
"13-Apr-2000","     1587.95","     1587.95","     1502.70","     1518.65","       20985552","         1207.87"
"17-Apr-2000","     1518.55","     1518.55","     1412.45","     1443.55","       47786700","         1109.70"
"18-Apr-2000","     1443.55","     1478.85","     1410.00","     1414.80","       30055064","         1311.69"
"19-Apr-2000","     1417.75","     1469.05","     1375.05","     1404.95","       38873392","         1939.59"
"20-Apr-2000","     1405.70","     1425.55","     1339.75","     1415.65","       43869587","         2294.24"
"24-Apr-2000","     1416.05","     1431.80","     1371.85","     1388.00","       34272187","         1720.02"
"25-Apr-2000","     1383.80","     1383.80","     1311.30","     1359.45","       40507493","         1380.95"
"26-Apr-2000","     1362.50","     1439.05","     1362.50","     1436.10","       45032350","         1395.49"
"27-Apr-2000","     1436.15","     1455.85","     1400.65","     1416.90","       51773632","         2558.15"
"28-Apr-2000","     1419.90","     1438.00","     1396.55","     1406.55","       27456437","         1442.25"
"02-May-2000","     1410.00","     1421.50","     1319.65","     1333.45","       39377730","         1889.61"
"03-May-2000","     1330.15","     1342.15","     1258.10","     1316.05","       34709688","         1815.26"
"04-May-2000","     1317.95","     1385.15","     1317.95","     1380.55","       29963970","         1527.37"
"05-May-2000","     1381.90","     1428.60","     1381.90","     1422.40","       35555435","         1883.38"
"08-May-2000","     1423.25","     1436.60","     1358.80","     1365.05","       23965671","         2058.90"
"09-May-2000","     1362.45","     1385.70","     1328.05","     1378.55","       24898689","         1523.07"
"10-May-2000","     1380.40","     1391.35","     1359.65","     1363.15","       22179474","         1577.07"
"11-May-2000","     1359.10","     1359.10","     1295.95","     1304.55","       23828870","         1553.33"
"12-May-2000","     1305.30","     1326.30","     1276.40","     1282.80","       23382546","         1576.03"
"15-May-2000","     1281.30","     1311.70","     1220.70","     1299.25","       21763805","         1747.61"
"16-May-2000","     1300.20","     1310.45","     1287.80","     1306.85","       17410579","         1238.38"
"17-May-2000","     1310.80","     1347.70","     1303.75","     1311.65","       25382671","         1662.60"
"18-May-2000","     1311.30","     1316.20","     1289.55","     1293.40","       23235814","         1201.14"
"19-May-2000","     1293.45","     1293.45","     1252.70","     1268.00","       27403349","         1507.05"
"22-May-2000","     1267.85","     1267.85","     1228.40","     1233.00","       18684174","         1051.53"
"23-May-2000","     1229.25","     1230.90","     1203.20","     1224.40","       21794331","         1240.47"
"24-May-2000","     1224.50","     1246.25","     1201.50","     1235.90","       30854002","         1573.85"
"25-May-2000","     1237.00","     1269.80","     1235.70","     1247.65","       35464246","         1835.71"
"26-May-2000","     1247.10","     1278.75","     1232.85","     1275.35","       33048311","         1691.57"
"29-May-2000","     1273.70","     1317.75","     1267.40","     1311.05","       47527900","         2324.35"
"30-May-2000","     1310.80","     1347.30","     1304.95","     1344.85","       35581006","         1885.23"
"31-May-2000","     1355.35","     1410.75","     1355.35","     1380.45","       46440897","         1883.79"
