"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"30-Mar-2010","     9558.95","     9587.65","     9461.25","     9470.30","       13567250","         1134.54"
"31-Mar-2010","     9509.85","     9537.45","     9440.35","     9459.60","       12860458","         1115.42"
"01-Apr-2010","     9464.15","     9523.40","     9445.55","     9507.75","       10367373","          912.50"
"05-Apr-2010","     9593.55","     9708.90","     9582.00","     9698.60","       14913546","         1221.82"
"06-Apr-2010","     9732.60","     9772.40","     9674.10","     9728.20","       21797034","         1386.93"
"07-Apr-2010","     9778.50","     9793.20","     9639.85","     9681.05","       21601793","         1598.80"
"08-Apr-2010","     9676.70","     9676.70","     9492.30","     9520.00","       13733134","         1170.38"
"09-Apr-2010","     9538.00","     9686.25","     9538.00","     9656.50","       12134046","         1122.24"
"12-Apr-2010","     9661.20","     9667.40","     9547.60","     9575.45","       10825715","          975.70"
"13-Apr-2010","     9565.05","     9565.35","     9453.55","     9483.00","       12489918","         1184.89"
"15-Apr-2010","     9501.60","     9575.25","     9330.80","     9344.60","       16781801","         1421.03"
"16-Apr-2010","     9345.50","     9410.15","     9266.15","     9353.75","       14024845","         1120.59"
"19-Apr-2010","     9273.85","     9357.05","     9206.00","     9302.90","       12008514","         1043.42"
"20-Apr-2010","     9314.55","     9501.85","     9314.55","     9446.10","       17263565","         1536.93"
"21-Apr-2010","     9477.10","     9574.55","     9477.10","     9555.30","       17323311","         1641.56"
"22-Apr-2010","     9534.05","     9739.10","     9500.15","     9623.25","       23562266","         2678.72"
"23-Apr-2010","     9653.15","     9824.95","     9653.15","     9813.30","       21085662","         1781.63"
"26-Apr-2010","     9890.80","     9920.45","     9824.75","     9839.15","       18036619","         1644.92"
"27-Apr-2010","     9827.00","     9827.00","     9744.70","     9756.45","       10979860","          987.23"
"28-Apr-2010","     9630.35","     9723.35","     9603.50","     9634.90","       15025215","         1353.48"
"29-Apr-2010","     9652.60","     9822.05","     9652.60","     9803.80","       20643625","         1850.64"
"30-Apr-2010","     9809.40","     9923.15","     9809.40","     9870.35","       18705008","         1394.67"
"03-May-2010","     9809.40","     9863.45","     9741.50","     9775.50","       13289323","          954.80"
"04-May-2010","     9816.60","     9837.70","     9607.45","     9623.70","       13632832","         1184.70"
"05-May-2010","     9461.35","     9609.45","     9454.75","     9581.85","       18029270","         1433.54"
"06-May-2010","     9588.85","     9627.45","     9449.75","     9582.00","       13828188","         1188.22"
"07-May-2010","     9426.65","     9444.05","     9239.80","     9276.10","       16890683","         1451.93"
"10-May-2010","     9419.50","     9684.40","     9402.05","     9656.25","       17358082","         1422.28"
"11-May-2010","     9683.20","     9733.80","     9593.55","     9626.10","       15580695","         1450.23"
"12-May-2010","     9640.80","     9740.85","     9587.10","     9722.20","       16193593","         1459.11"
"13-May-2010","     9788.35","     9849.05","     9748.85","     9773.35","       15143282","         1383.89"
"14-May-2010","     9738.15","     9762.15","     9548.20","     9589.05","       15791023","         1801.54"
"17-May-2010","     9485.35","     9551.05","     9303.75","     9526.50","       18822193","         1727.33"
"18-May-2010","     9522.15","     9572.05","     9430.70","     9492.25","       14357782","         1478.05"
"19-May-2010","     9408.70","     9408.70","     9075.00","     9108.35","       24421464","         2200.73"
"20-May-2010","     9208.30","     9251.95","     9108.20","     9174.60","       15807610","         1439.50"
"21-May-2010","     9151.30","     9174.90","     8969.20","     9135.70","       14349350","         1266.21"
"24-May-2010","     9524.50","     9524.50","     9044.55","     9087.25","       11950621","         1091.72"
"25-May-2010","     9023.60","     9023.60","     8806.65","     8851.75","       15162573","         1238.80"
"26-May-2010","     8911.40","     9037.65","     8911.40","     9027.60","       15773764","         1384.81"
