"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Mar-2017","    21229.00","    21264.95","    21145.00","    21225.40","       95258847","         3085.11"
"29-Mar-2017","    21291.45","    21418.60","    21255.75","    21391.15","      119195883","         3822.73"
"30-Mar-2017","    21374.35","    21696.00","    21331.90","    21620.70","      111132480","         4310.10"
"31-Mar-2017","    21551.85","    21574.15","    21414.00","    21444.15","      103206746","         3006.08"
"03-Apr-2017","    21539.20","    21565.45","    21408.60","    21547.75","       61067763","         1906.61"
"05-Apr-2017","    21602.20","    21699.30","    21499.75","    21652.70","       84599454","         2687.88"
"06-Apr-2017","    21572.70","    21674.00","    21488.90","    21622.95","       93689427","         3046.09"
"07-Apr-2017","    21536.50","    21616.85","    21397.00","    21431.15","       96285404","         2249.17"
"10-Apr-2017","    21492.05","    21552.10","    21396.05","    21520.15","       57491405","         1899.75"
"11-Apr-2017","    21521.45","    21753.35","    21483.55","    21736.15","       89433764","         2573.00"
"12-Apr-2017","    21735.65","    21787.10","    21551.75","    21666.80","       78966353","         2262.20"
"13-Apr-2017","    21651.25","    21758.85","    21627.00","    21686.60","       71469667","         2103.68"
"17-Apr-2017","    21700.50","    21743.30","    21576.75","    21647.60","       49031440","         1613.70"
"18-Apr-2017","    21706.05","    21947.00","    21634.15","    21671.85","       85174794","         2519.03"
"19-Apr-2017","    21674.10","    21706.30","    21470.20","    21556.35","       81449296","         2982.23"
"20-Apr-2017","    21419.45","    21558.85","    21396.00","    21491.40","      100132829","         4072.58"
"21-Apr-2017","    21567.50","    21614.55","    21386.20","    21551.45","       77253527","         3180.14"
"24-Apr-2017","    21591.90","    21884.85","    21578.65","    21857.40","       84637572","         3426.83"
"25-Apr-2017","    21960.65","    22093.25","    21900.30","    22054.70","       88819491","         2951.25"
"26-Apr-2017","    22158.65","    22276.05","    21814.90","    22242.85","      133893025","         3440.25"
"27-Apr-2017","    22274.05","    22380.85","    22169.80","    22326.30","      166567366","         5121.57"
