"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"31-Mar-2014","     7677.15","     7690.45","     7588.60","     7630.40","        7630784","          545.21"
"01-Apr-2014","     7659.80","     7681.20","     7625.80","     7661.50","        6045771","          438.47"
"02-Apr-2014","     7682.00","     7809.85","     7676.65","     7761.20","       19527320","         1027.44"
"03-Apr-2014","     7773.15","     7847.75","     7773.15","     7840.60","       16411112","          987.90"
"04-Apr-2014","     7859.10","     7903.20","     7822.35","     7843.25","       18722442","         1012.32"
"07-Apr-2014","     7886.05","     7915.40","     7763.05","     7825.45","       25398093","         1417.15"
"09-Apr-2014","     7876.90","     8051.10","     7854.80","     8029.25","       29457652","         1749.32"
"10-Apr-2014","     8045.50","     8101.20","     7861.90","     7877.55","       15938130","          967.60"
"11-Apr-2014","     7908.35","     8000.60","     7899.25","     7964.80","       10999487","          707.65"
"15-Apr-2014","     7997.70","     7997.70","     7892.70","     7900.80","        7266478","          467.00"
"16-Apr-2014","     7926.30","     7960.35","     7856.05","     7877.15","        5345734","          358.96"
"17-Apr-2014","     7892.10","     7958.00","     7891.55","     7941.60","        5952072","          407.83"
"21-Apr-2014","     7975.60","     7975.60","     7913.15","     7920.25","        3872568","          284.09"
"22-Apr-2014","     7913.50","     7949.55","     7909.10","     7941.75","        5332462","          355.83"
"23-Apr-2014","     7930.00","     8043.00","     7930.00","     7974.35","       10431093","          778.65"
"25-Apr-2014","     8002.00","     8043.45","     7966.95","     7989.30","        4778690","          424.58"
"28-Apr-2014","     7993.95","     8134.30","     7993.95","     8122.25","        8120985","          583.63"
"29-Apr-2014","     8147.70","     8169.00","     8065.85","     8106.50","        7086764","          463.38"
"30-Apr-2014","     8067.95","     8170.75","     8036.70","     8100.00","        7236913","          523.94"
"02-May-2014","     8098.50","     8195.90","     8098.50","     8157.05","        6050056","          447.01"
"05-May-2014","     8139.20","     8186.05","     8065.10","     8078.50","        5643431","          369.78"
"06-May-2014","     8113.20","     8125.35","     8056.70","     8087.45","        5050086","          330.11"
"07-May-2014","     8090.30","     8161.80","     8052.50","     8070.45","        7678154","          564.99"
"08-May-2014","     8091.45","     8115.35","     8027.70","     8047.95","        6418190","          452.60"
"09-May-2014","     8034.30","     8058.15","     7993.15","     8009.00","        8224538","          598.03"
"12-May-2014","     8020.20","     8039.85","     7910.60","     7937.70","        6712522","          471.02"
"13-May-2014","     7989.55","     7996.65","     7847.75","     7870.35","        8412847","          675.83"
"14-May-2014","     7871.75","     7931.50","     7827.90","     7836.50","        6559437","          572.32"
"15-May-2014","     7857.75","     7928.45","     7800.85","     7817.00","        8433410","          613.11"
"16-May-2014","     7817.50","     7916.70","     7682.35","     7699.45","        9881610","          778.86"
"19-May-2014","     7714.85","     7731.40","     7357.45","     7411.60","       11839562","          862.54"
"20-May-2014","     7401.65","     7549.15","     7385.45","     7515.60","        9136821","          619.03"
"21-May-2014","     7509.80","     7509.80","     7451.80","     7466.70","        8183744","          558.12"
"22-May-2014","     7480.50","     7525.85","     7431.70","     7470.45","        6127450","          470.82"
"23-May-2014","     7455.20","     7521.95","     7455.20","     7489.30","        5726126","          429.95"
"26-May-2014","     7588.55","     7592.00","     7411.40","     7447.60","        9247986","          647.45"
"27-May-2014","     7433.55","     7526.80","     7433.55","     7453.60","        6770771","          475.99"
"28-May-2014","     7499.55","     7501.65","     7447.10","     7466.50","        7612897","          707.60"
"29-May-2014","     7462.10","     7521.45","     7458.80","     7484.45","        9742101","          662.52"
"30-May-2014","     7500.60","     7750.70","     7500.60","     7712.90","       17349026","         1412.87"
"02-Jun-2014","     7745.40","     7746.35","     7599.70","     7615.20","        4822057","          341.95"
"03-Jun-2014","     7610.75","     7637.45","     7571.85","     7579.05","        4530307","          340.84"
"04-Jun-2014","     7561.95","     7614.00","     7537.75","     7554.85","        4374744","          330.44"
"05-Jun-2014","     7550.40","     7584.45","     7534.60","     7563.35","        5768787","          454.83"
"06-Jun-2014","     7637.05","     7682.70","     7602.50","     7672.70","        9082197","          583.05"
"09-Jun-2014","     7681.10","     7734.95","     7671.90","     7706.90","        5430127","          382.00"
"10-Jun-2014","     7743.45","     7865.35","     7738.80","     7834.30","        9984515","          686.41"
"11-Jun-2014","     7890.60","     7923.30","     7840.95","     7903.05","        9994387","          707.91"
"12-Jun-2014","     7926.30","     8015.90","     7922.80","     8002.65","        8078777","          634.00"
"13-Jun-2014","     7987.65","     8037.95","     7957.80","     7986.35","        8328766","          615.11"
"16-Jun-2014","     7969.95","     8043.90","     7961.95","     8023.45","        7520879","          523.95"
"17-Jun-2014","     8038.70","     8065.25","     7965.80","     8037.10","        5915295","          437.16"
"18-Jun-2014","     8037.35","     8156.45","     8009.15","     8046.60","       12858207","          737.56"
"19-Jun-2014","     8074.85","     8132.25","     8031.50","     8119.00","        5353337","          374.81"
"20-Jun-2014","     8113.45","     8148.60","     7997.25","     8043.70","        6076290","          403.72"
"23-Jun-2014","     8065.00","     8105.05","     8027.45","     8082.15","        4529441","          368.86"
"24-Jun-2014","     8089.75","     8116.50","     8040.15","     8058.80","        4778240","          369.41"
"25-Jun-2014","     8049.85","     8125.05","     8042.20","     8104.75","        4364615","          350.54"
"26-Jun-2014","     8106.80","     8168.20","     8059.35","     8135.90","        9482854","          677.40"
"27-Jun-2014","     8210.70","     8377.50","     8210.70","     8361.00","       13389442","          902.43"
"30-Jun-2014","     8416.40","     8547.65","     8403.80","     8535.70","        8826215","          635.91"
"01-Jul-2014","     8541.55","     8555.40","     8488.15","     8496.85","        4452598","          351.89"
"02-Jul-2014","     8510.20","     8670.95","     8510.20","     8656.65","        6347468","          452.85"
"03-Jul-2014","     8668.60","     8814.35","     8644.40","     8749.60","       11360877","          778.98"
"04-Jul-2014","     8769.60","     8847.70","     8765.30","     8796.45","        6352103","          494.41"
"07-Jul-2014","     8831.60","     8962.10","     8778.25","     8883.30","        6733666","          555.25"
"08-Jul-2014","     8901.75","     9001.85","     8758.15","     8799.25","       10281072","          740.41"
"09-Jul-2014","     8819.45","     8836.80","     8639.65","     8717.15","        5509567","          453.01"
"10-Jul-2014","     8677.95","     8837.70","     8578.85","     8714.85","        5204895","          410.43"
"11-Jul-2014","     8668.85","     8916.60","     8641.90","     8819.05","        7610064","          634.26"
"14-Jul-2014","     8817.95","     8835.25","     8693.00","     8770.50","        5224273","          438.87"
"15-Jul-2014","     8756.45","     8788.80","     8686.60","     8725.85","        5994512","          444.58"
"16-Jul-2014","     8749.40","     8813.40","     8729.80","     8786.75","        5028941","          398.33"
"17-Jul-2014","     8755.10","     8847.95","     8755.10","     8821.85","        3093426","          246.97"
"18-Jul-2014","     8829.70","     8845.15","     8770.25","     8829.40","        4298047","          308.29"
"21-Jul-2014","     8864.05","     8887.20","     8811.85","     8831.90","        3631622","          295.65"
"22-Jul-2014","     8856.00","     8933.45","     8852.65","     8920.30","        3647074","          330.00"
"23-Jul-2014","     8961.50","     8968.00","     8871.05","     8925.65","        4217422","          344.93"
"24-Jul-2014","     8930.30","     8949.40","     8851.70","     8917.40","        4347550","          351.01"
"25-Jul-2014","     8935.00","     9182.75","     8935.00","     9168.15","        8422859","          667.21"
"28-Jul-2014","     9180.45","     9217.80","     9108.35","     9204.15","        5732635","          483.67"
"30-Jul-2014","     9193.50","     9357.30","     9166.75","     9339.55","        9698482","          909.85"
"31-Jul-2014","     9313.05","     9364.05","     9284.90","     9342.90","       12937251","         1128.36"
"01-Aug-2014","     9265.85","     9347.10","     9151.00","     9179.70","        7221376","          625.91"
