"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Apr-2013","     3066.35","     3090.05","     3043.05","     3084.55","        8128793","          385.67"
"02-Apr-2013","     3072.00","     3173.55","     3072.00","     3168.10","       11569087","          554.32"
"03-Apr-2013","     3159.60","     3175.70","     3077.85","     3095.05","       13538719","          804.31"
"04-Apr-2013","     3073.80","     3089.95","     3033.20","     3048.60","       13706244","          599.60"
"05-Apr-2013","     3048.55","     3075.85","     3018.70","     3039.15","       11891962","          564.61"
"08-Apr-2013","     3041.25","     3061.20","     2986.20","     2991.50","        9605351","          422.08"
"09-Apr-2013","     3010.05","     3039.95","     2920.35","     2928.75","       14519994","          680.43"
"10-Apr-2013","     2943.85","     2983.10","     2908.25","     2977.65","       13410718","          652.25"
"11-Apr-2013","     2994.45","     3000.70","     2940.25","     2985.40","       11994466","          621.59"
"12-Apr-2013","     2973.75","     3057.95","     2957.35","     3038.30","       13791583","          657.69"
"15-Apr-2013","     3017.05","     3153.90","     3016.40","     3132.55","       17916437","          751.07"
"16-Apr-2013","     3126.05","     3197.50","     3126.05","     3187.95","       15806115","          618.06"
"17-Apr-2013","     3209.30","     3266.05","     3197.30","     3227.65","       17387932","          888.25"
"18-Apr-2013","     3234.85","     3317.90","     3212.70","     3309.10","       16368012","          815.66"
"22-Apr-2013","     3321.60","     3385.80","     3321.60","     3372.25","       19289842","          765.97"
"23-Apr-2013","     3385.55","     3387.15","     3282.90","     3323.50","       14296651","          714.52"
"25-Apr-2013","     3343.35","     3381.85","     3334.55","     3374.60","       22878619","          924.46"
"26-Apr-2013","     3364.00","     3365.35","     3292.60","     3301.20","       13649495","          516.36"
"29-Apr-2013","     3317.95","     3339.85","     3290.50","     3309.05","       15923043","          580.62"
"30-Apr-2013","     3323.00","     3329.55","     3223.30","     3288.40","       17063826","          637.86"
"02-May-2013","     3293.65","     3360.50","     3287.80","     3333.30","       29897003","         1079.72"
"03-May-2013","     3316.45","     3318.95","     3219.80","     3229.25","       24168507","         1294.38"
"06-May-2013","     3220.25","     3242.50","     3178.80","     3237.95","       16685159","          750.61"
"07-May-2013","     3235.10","     3283.75","     3235.10","     3267.90","       18573901","          630.20"
"08-May-2013","     3271.60","     3281.00","     3227.60","     3254.80","       14896850","          632.64"
"09-May-2013","     3260.60","     3352.05","     3242.70","     3306.30","       29337958","         1465.22"
"10-May-2013","     3302.50","     3328.25","     3286.75","     3313.10","       14087489","          781.41"
"11-May-2013","     3312.30","     3338.10","     3312.10","     3326.90","        1352069","           57.23"
"13-May-2013","     3321.95","     3331.80","     3257.15","     3265.25","       17096607","          822.46"
"14-May-2013","     3259.20","     3315.70","     3255.15","     3285.15","       12210177","          726.08"
"15-May-2013","     3304.50","     3431.70","     3304.40","     3422.30","       26133882","         1325.33"
